timestamp,open,high,low,close,volume
2023-05-01 13:30:00+00:00,169.28,169.85,169.28,169.8236,1422421
2023-05-01 13:31:00+00:00,169.83,169.92,169.55,169.6415,304499
2023-05-01 13:32:00+00:00,169.65,169.7806,169.56,169.75,232898
2023-05-01 13:33:00+00:00,169.75,169.87,169.6,169.6,192009
2023-05-01 13:34:00+00:00,169.62,169.71,169.4037,169.439,251297
2023-05-01 13:35:00+00:00,169.43,169.5,169.03,169.08,312716
2023-05-01 13:36:00+00:00,169.09,169.3071,169.09,169.17,198023
2023-05-01 13:37:00+00:00,169.19,169.26,169.05,169.11,136405
2023-05-01 13:38:00+00:00,169.15,169.425,169.15,169.28,233206
2023-05-01 13:39:00+00:00,169.27,169.49,169.27,169.47,184138
2023-05-01 13:40:00+00:00,169.47,169.68,169.41,169.6215,254543
2023-05-01 13:41:00+00:00,169.6475,169.99,169.6201,169.93,380161
2023-05-01 13:42:00+00:00,169.9201,169.99,169.92,169.96,259172
2023-05-01 13:43:00+00:00,169.959,170.0,169.91,169.9899,271584
2023-05-01 13:44:00+00:00,169.98,170.0,169.9,170.0,254067
2023-05-01 13:45:00+00:00,169.99,170.0,169.84,169.93,258163
2023-05-01 13:46:00+00:00,169.9335,169.98,169.82,169.97,187658
2023-05-01 13:47:00+00:00,169.965,170.0,169.95,169.98,255490
2023-05-01 13:48:00+00:00,169.9799,170.0,169.95,169.975,203796
2023-05-01 13:49:00+00:00,169.9787,170.0,169.86,169.9383,217109
2023-05-01 13:50:00+00:00,169.94,169.965,169.81,169.89,198341
2023-05-01 13:51:00+00:00,169.8825,169.9,169.805,169.8919,156270
2023-05-01 13:52:00+00:00,169.9,170.19,169.89,170.1553,1649509
2023-05-01 13:53:00+00:00,170.1509,170.29,169.91,169.95,388452
2023-05-01 13:54:00+00:00,169.94,169.95,169.66,169.8299,288777
2023-05-01 13:55:00+00:00,169.83,169.87,169.67,169.6788,191705
2023-05-01 13:56:00+00:00,169.68,169.77,169.57,169.6899,198220
2023-05-01 13:57:00+00:00,169.685,169.7151,169.61,169.665,124962
2023-05-01 13:58:00+00:00,169.68,169.69,169.5,169.55,122686
2023-05-01 13:59:00+00:00,169.55,169.55,169.44,169.48,113930
2023-05-01 14:00:00+00:00,169.47,169.5,169.26,169.43,205135
2023-05-01 14:01:00+00:00,169.43,169.43,169.29,169.38,143168
2023-05-01 14:02:00+00:00,169.39,169.57,169.39,169.55,141972
2023-05-01 14:03:00+00:00,169.56,169.6,169.48,169.53,117594
2023-05-01 14:04:00+00:00,169.58,169.58,169.41,169.43,78002
2023-05-01 14:05:00+00:00,169.4255,169.4899,169.321,169.45,128286
2023-05-01 14:06:00+00:00,169.445,169.4601,169.35,169.44,79264
2023-05-01 14:07:00+00:00,169.4799,169.4999,169.32,169.3928,106728
2023-05-01 14:08:00+00:00,169.41,169.49,169.38,169.48,93929
2023-05-01 14:09:00+00:00,169.485,169.58,169.4119,169.5634,119620
2023-05-01 14:10:00+00:00,169.57,169.62,169.49,169.55,99570
2023-05-01 14:11:00+00:00,169.5513,169.56,169.38,169.4601,103158
2023-05-01 14:12:00+00:00,169.465,169.55,169.4388,169.475,75858
2023-05-01 14:13:00+00:00,169.47,169.5174,169.45,169.4799,47765
2023-05-01 14:14:00+00:00,169.4787,169.49,169.4,169.45,78136
2023-05-01 14:15:00+00:00,169.43,169.545,169.3901,169.53,90576
2023-05-01 14:16:00+00:00,169.54,169.67,169.52,169.55,179687
2023-05-01 14:17:00+00:00,169.56,169.61,169.5201,169.605,72335
2023-05-01 14:18:00+00:00,169.61,169.61,169.52,169.54,68833
2023-05-01 14:19:00+00:00,169.545,169.5689,169.35,169.39,95680
2023-05-01 14:20:00+00:00,169.38,169.41,169.33,169.37,92274
2023-05-01 14:21:00+00:00,169.36,169.43,169.26,169.28,151470
2023-05-01 14:22:00+00:00,169.27,169.3499,169.17,169.3423,188894
2023-05-01 14:23:00+00:00,169.34,169.39,169.18,169.1855,171113
2023-05-01 14:24:00+00:00,169.19,169.19,169.07,169.16,157271
2023-05-01 14:25:00+00:00,169.15,169.19,169.045,169.06,129788
2023-05-01 14:26:00+00:00,169.05,169.155,169.0401,169.1,134240
2023-05-01 14:27:00+00:00,169.09,169.21,169.08,169.2,128709
2023-05-01 14:28:00+00:00,169.2,169.2,169.07,169.0712,97484
2023-05-01 14:29:00+00:00,169.075,169.1099,169.02,169.045,110534
2023-05-01 14:30:00+00:00,169.045,169.11,168.99,169.013,198645
2023-05-01 14:31:00+00:00,169.01,169.0253,168.87,168.88,215054
2023-05-01 14:32:00+00:00,168.885,169.1468,168.85,169.1301,178865
2023-05-01 14:33:00+00:00,169.14,169.16,169.1001,169.1412,88386
2023-05-01 14:34:00+00:00,169.14,169.16,168.955,168.9999,93279
2023-05-01 14:35:00+00:00,168.9985,169.0,168.92,168.93,83112
2023-05-01 14:36:00+00:00,168.93,168.985,168.89,168.935,103034
2023-05-01 14:37:00+00:00,168.93,168.99,168.87,168.875,103912
2023-05-01 14:38:00+00:00,168.87,168.8828,168.76,168.77,128451
2023-05-01 14:39:00+00:00,168.77,168.79,168.71,168.74,123184
2023-05-01 14:40:00+00:00,168.735,168.78,168.65,168.66,142148
2023-05-01 14:41:00+00:00,168.64,168.8254,168.64,168.76,140092
2023-05-01 14:42:00+00:00,168.76,168.82,168.7,168.81,133036
2023-05-01 14:43:00+00:00,168.815,168.86,168.68,168.6887,113984
2023-05-01 14:44:00+00:00,168.685,168.86,168.68,168.83,85355
2023-05-01 14:45:00+00:00,168.82,168.93,168.82,168.9,129009
2023-05-01 14:46:00+00:00,168.92,169.18,168.9,169.12,247355
2023-05-01 14:47:00+00:00,169.1281,169.197,169.08,169.1301,91869
2023-05-01 14:48:00+00:00,169.135,169.16,169.09,169.155,50010
2023-05-01 14:49:00+00:00,169.1501,169.285,169.13,169.285,129043
2023-05-01 14:50:00+00:00,169.285,169.33,169.19,169.2204,131079
2023-05-01 14:51:00+00:00,169.2095,169.3166,169.18,169.31,82367
2023-05-01 14:52:00+00:00,169.32,169.35,169.27,169.285,116494
2023-05-01 14:53:00+00:00,169.28,169.3199,169.22,169.3199,73469
2023-05-01 14:54:00+00:00,169.31,169.43,169.31,169.38,106746
2023-05-01 14:55:00+00:00,169.38,169.4299,169.34,169.4216,92230
2023-05-01 14:56:00+00:00,169.43,169.4877,169.425,169.485,97836
2023-05-01 14:57:00+00:00,169.485,169.5294,169.43,169.47,95468
2023-05-01 14:58:00+00:00,169.475,169.56,169.465,169.4999,123743
2023-05-01 14:59:00+00:00,169.5,169.558,169.4957,169.5199,66585
2023-05-01 15:00:00+00:00,169.515,169.56,169.51,169.54,66783
2023-05-01 15:01:00+00:00,169.54,169.65,169.5,169.645,137747
2023-05-01 15:02:00+00:00,169.64,169.66,169.58,169.6399,100444
2023-05-01 15:03:00+00:00,169.63,169.675,169.5983,169.61,109088
2023-05-01 15:04:00+00:00,169.61,169.61,169.5,169.5983,153272
2023-05-01 15:05:00+00:00,169.59,169.67,169.54,169.67,100188
2023-05-01 15:06:00+00:00,169.665,169.7399,169.6488,169.728,110839
2023-05-01 15:07:00+00:00,169.735,169.8,169.664,169.7904,123303
2023-05-01 15:08:00+00:00,169.7912,169.83,169.71,169.7101,118035
2023-05-01 15:09:00+00:00,169.72,169.7713,169.7087,169.71,91674
2023-05-01 15:10:00+00:00,169.72,169.73,169.55,169.62,184345
2023-05-01 15:11:00+00:00,169.6347,169.72,169.62,169.6597,83188
2023-05-01 15:12:00+00:00,169.65,169.6587,169.55,169.5598,94330
2023-05-01 15:13:00+00:00,169.5501,169.57,169.43,169.4379,112483
2023-05-01 15:14:00+00:00,169.43,169.4301,169.32,169.365,119098
2023-05-01 15:15:00+00:00,169.35,169.37,169.1125,169.12,143430
2023-05-01 15:16:00+00:00,169.115,169.1501,168.93,168.99,183145
2023-05-01 15:17:00+00:00,168.98,169.07,168.97,168.99,141174
2023-05-01 15:18:00+00:00,168.9999,169.03,168.98,168.99,118573
2023-05-01 15:19:00+00:00,168.99,169.07,168.97,169.055,67195
2023-05-01 15:20:00+00:00,169.055,169.2683,169.005,169.2683,108431
2023-05-01 15:21:00+00:00,169.27,169.33,169.2,169.21,123963
2023-05-01 15:22:00+00:00,169.205,169.21,169.1,169.105,61394
2023-05-01 15:23:00+00:00,169.105,169.1598,169.04,169.085,75240
2023-05-01 15:24:00+00:00,169.09,169.09,169.01,169.05,90743
2023-05-01 15:25:00+00:00,169.04,169.075,169.0,169.02,77683
2023-05-01 15:26:00+00:00,169.02,169.1999,169.0,169.1789,114487
2023-05-01 15:27:00+00:00,169.18,169.23,169.15,169.15,75808
2023-05-01 15:28:00+00:00,169.155,169.1968,169.0904,169.16,54742
2023-05-01 15:29:00+00:00,169.16,169.21,169.13,169.13,61422
2023-05-01 15:30:00+00:00,169.14,169.14,169.051,169.12,93271
2023-05-01 15:31:00+00:00,169.13,169.2177,169.1201,169.1588,75053
2023-05-01 15:32:00+00:00,169.15,169.2077,169.11,169.14,82362
2023-05-01 15:33:00+00:00,169.13,169.1843,169.11,169.165,36804
2023-05-01 15:34:00+00:00,169.16,169.2,169.12,169.19,50815
2023-05-01 15:35:00+00:00,169.18,169.29,169.15,169.2815,76185
2023-05-01 15:36:00+00:00,169.2787,169.3386,169.2401,169.3301,91803
2023-05-01 15:37:00+00:00,169.3335,169.39,169.31,169.3684,60788
2023-05-01 15:38:00+00:00,169.3609,169.37,169.29,169.315,66911
2023-05-01 15:39:00+00:00,169.31,169.33,169.28,169.2901,50859
2023-05-01 15:40:00+00:00,169.2905,169.3,169.2,169.255,73890
2023-05-01 15:41:00+00:00,169.255,169.42,169.25,169.3201,82788
2023-05-01 15:42:00+00:00,169.31,169.4397,169.29,169.4397,80608
2023-05-01 15:43:00+00:00,169.44,169.5,169.4235,169.4887,58776
2023-05-01 15:44:00+00:00,169.4899,169.5699,169.48,169.55,82610
2023-05-01 15:45:00+00:00,169.55,169.57,169.5,169.53,86978
2023-05-01 15:46:00+00:00,169.53,169.57,169.465,169.52,70950
2023-05-01 15:47:00+00:00,169.52,169.54,169.47,169.4708,45513
2023-05-01 15:48:00+00:00,169.479,169.56,169.46,169.525,64451
2023-05-01 15:49:00+00:00,169.52,169.58,169.49,169.555,59672
2023-05-01 15:50:00+00:00,169.55,169.5599,169.48,169.5,71625
2023-05-01 15:51:00+00:00,169.505,169.61,169.47,169.59,72255
2023-05-01 15:52:00+00:00,169.5965,169.66,169.56,169.65,72121
2023-05-01 15:53:00+00:00,169.6569,169.69,169.635,169.6775,73229
2023-05-01 15:54:00+00:00,169.67,169.69,169.62,169.665,55010
2023-05-01 15:55:00+00:00,169.67,169.67,169.57,169.605,61891
2023-05-01 15:56:00+00:00,169.6,169.65,169.6,169.63,35699
2023-05-01 15:57:00+00:00,169.64,169.68,169.615,169.64,62977
2023-05-01 15:58:00+00:00,169.6414,169.69,169.61,169.62,55955
2023-05-01 15:59:00+00:00,169.62,169.66,169.59,169.65,49738
2023-05-01 16:00:00+00:00,169.6304,169.6776,169.5801,169.675,72414
2023-05-01 16:01:00+00:00,169.675,169.85,169.6713,169.85,128406
2023-05-01 16:02:00+00:00,169.8401,169.98,169.84,169.975,194481
2023-05-01 16:03:00+00:00,169.9701,169.99,169.87,169.8841,146582
2023-05-01 16:04:00+00:00,169.88,169.94,169.87,169.9058,68965
2023-05-01 16:05:00+00:00,169.9014,169.97,169.9,169.9374,79560
2023-05-01 16:06:00+00:00,169.93,169.93,169.85,169.87,50185
2023-05-01 16:07:00+00:00,169.871,169.96,169.85,169.955,68132
2023-05-01 16:08:00+00:00,169.95,169.95,169.91,169.91,69981
2023-05-01 16:09:00+00:00,169.92,170.07,169.91,170.0222,366261
2023-05-01 16:10:00+00:00,170.03,170.19,170.03,170.16,214716
2023-05-01 16:11:00+00:00,170.16,170.16,170.02,170.045,74746
2023-05-01 16:12:00+00:00,170.04,170.06,169.96,169.995,71129
2023-05-01 16:13:00+00:00,169.98,170.0,169.96,169.9802,127539
2023-05-01 16:14:00+00:00,169.99,170.0,169.958,169.99,56838
2023-05-01 16:15:00+00:00,169.98,169.985,169.89,169.905,102699
2023-05-01 16:16:00+00:00,169.9,169.95,169.86,169.8604,85267
2023-05-01 16:17:00+00:00,169.86,169.97,169.8404,169.9489,87297
2023-05-01 16:18:00+00:00,169.945,169.945,169.86,169.86,69146
2023-05-01 16:19:00+00:00,169.8611,169.945,169.86,169.895,59848
2023-05-01 16:20:00+00:00,169.9,169.9499,169.87,169.91,50029
2023-05-01 16:21:00+00:00,169.905,169.97,169.9,169.9501,53858
2023-05-01 16:22:00+00:00,169.96,169.98,169.87,169.89,60612
2023-05-01 16:23:00+00:00,169.89,169.96,169.88,169.95,39862
2023-05-01 16:24:00+00:00,169.9522,169.99,169.94,169.971,38032
2023-05-01 16:25:00+00:00,169.975,169.99,169.905,169.905,74134
2023-05-01 16:26:00+00:00,169.9,169.96,169.8729,169.955,38389
2023-05-01 16:27:00+00:00,169.96,169.98,169.9396,169.9396,50946
2023-05-01 16:28:00+00:00,169.9301,170.0,169.9301,169.985,63447
2023-05-01 16:29:00+00:00,169.985,170.0,169.97,169.975,87316
2023-05-01 16:30:00+00:00,169.985,170.09,169.985,170.09,91571
2023-05-01 16:31:00+00:00,170.09,170.235,170.08,170.235,191211
2023-05-01 16:32:00+00:00,170.235,170.25,170.14,170.1986,130799
2023-05-01 16:33:00+00:00,170.1914,170.21,170.16,170.185,61943
2023-05-01 16:34:00+00:00,170.1801,170.2,170.1602,170.175,60078
2023-05-01 16:35:00+00:00,170.18,170.21,170.12,170.165,85395
2023-05-01 16:36:00+00:00,170.1603,170.2,170.15,170.1507,59001
2023-05-01 16:37:00+00:00,170.1599,170.178,170.12,170.14,55155
2023-05-01 16:38:00+00:00,170.13,170.21,170.13,170.2047,62528
2023-05-01 16:39:00+00:00,170.2001,170.33,170.2001,170.2583,193697
2023-05-01 16:40:00+00:00,170.268,170.285,170.22,170.2301,71877
2023-05-01 16:41:00+00:00,170.2312,170.235,170.175,170.22,85120
2023-05-01 16:42:00+00:00,170.239,170.25,170.2,170.25,58379
2023-05-01 16:43:00+00:00,170.255,170.28,170.226,170.24,69247
2023-05-01 16:44:00+00:00,170.2389,170.2597,170.21,170.2389,78016
2023-05-01 16:45:00+00:00,170.24,170.255,170.215,170.23,58545
2023-05-01 16:46:00+00:00,170.22,170.2299,170.13,170.17,91131
