,type,entry_price,entry_time,exit_price,exit_time,PnL
0,SELL,169.08,2023-05-01 13:35:00+00:00,169.93,2023-05-01 13:41:00+00:00,-0.8499999999999943
1,BUY,170.1553,2023-05-01 13:52:00+00:00,169.95,2023-05-01 13:53:00+00:00,-0.20530000000002246
2,BUY,169.55,2023-05-01 14:02:00+00:00,169.12,2023-05-01 15:15:00+00:00,-0.4300000000000068
3,BUY,169.2683,2023-05-01 15:20:00+00:00,169.4,2023-05-01 18:34:00+00:00,0.13169999999999504
4,SELL,169.585,2023-05-01 19:33:00+00:00,169.75,2023-05-02 13:45:00+00:00,-0.16499999999999204
5,SELL,169.52,2023-05-02 14:01:00+00:00,169.01,2023-05-02 14:12:00+00:00,0.5100000000000193
6,SELL,168.67,2023-05-02 14:22:00+00:00,169.7421,2023-05-03 13:30:00+00:00,-1.072100000000006
7,BUY,170.235,2023-05-03 13:34:00+00:00,170.475,2023-05-03 13:46:00+00:00,0.23999999999998067
8,BUY,170.61,2023-05-03 13:52:00+00:00,170.3442,2023-05-03 14:06:00+00:00,-0.2658000000000129
9,SELL,170.0801,2023-05-03 14:29:00+00:00,170.2,2023-05-03 18:00:00+00:00,-0.11990000000000123
10,SELL,169.695,2023-05-03 18:03:00+00:00,170.02,2023-05-03 18:38:00+00:00,-0.32500000000001705
11,BUY,170.6,2023-05-03 18:40:00+00:00,169.85,2023-05-03 18:49:00+00:00,-0.75
12,SELL,168.6218,2023-05-03 19:15:00+00:00,168.88,2023-05-03 19:16:00+00:00,-0.258199999999988
13,SELL,168.7825,2023-05-03 19:19:00+00:00,168.575,2023-05-03 19:22:00+00:00,0.20750000000001023
14,SELL,168.41,2023-05-03 19:28:00+00:00,168.1099,2023-05-03 19:34:00+00:00,0.30009999999998627
15,SELL,167.6899,2023-05-03 19:40:00+00:00,165.26,2023-05-04 13:37:00+00:00,2.4299000000000035
16,SELL,164.56,2023-05-04 13:45:00+00:00,165.3803,2023-05-04 13:55:00+00:00,-0.8203000000000031
17,BUY,165.45,2023-05-04 13:57:00+00:00,165.09,2023-05-04 14:26:00+00:00,-0.3599999999999852
18,BUY,165.86,2023-05-04 14:42:00+00:00,165.55,2023-05-04 15:50:00+00:00,-0.3100000000000023
19,SELL,166.185,2023-05-04 17:44:00+00:00,165.83,2023-05-04 19:49:00+00:00,0.35499999999998977
20,SELL,165.5,2023-05-04 20:00:00+00:00,171.235,2023-05-05 13:30:00+00:00,-5.735000000000014
21,BUY,172.23,2023-05-05 13:33:00+00:00,173.0898,2023-05-05 14:20:00+00:00,0.859800000000007
22,SELL,172.78,2023-05-05 14:23:00+00:00,173.685,2023-05-05 14:36:00+00:00,-0.9050000000000011
23,BUY,174.08,2023-05-05 14:39:00+00:00,173.82,2023-05-05 14:43:00+00:00,-0.2600000000000193
24,SELL,173.36,2023-05-05 15:02:00+00:00,173.02,2023-05-08 13:33:00+00:00,0.3400000000000034
25,SELL,172.66,2023-05-08 13:34:00+00:00,172.77,2023-05-08 13:37:00+00:00,-0.11000000000001364
26,SELL,172.29,2023-05-08 13:38:00+00:00,172.8835,2023-05-08 13:39:00+00:00,-0.5935000000000059
27,SELL,172.67,2023-05-08 13:43:00+00:00,173.2716,2023-05-08 13:46:00+00:00,-0.601600000000019
28,BUY,173.36,2023-05-08 13:48:00+00:00,173.28,2023-05-08 14:12:00+00:00,-0.0800000000000125
29,BUY,173.49,2023-05-08 14:18:00+00:00,173.16,2023-05-08 14:32:00+00:00,-0.3300000000000125
30,SELL,172.97,2023-05-08 14:33:00+00:00,173.47,2023-05-09 13:32:00+00:00,-0.5
31,SELL,172.98,2023-05-09 13:33:00+00:00,173.1,2023-05-10 13:30:00+00:00,-0.12000000000000455
32,BUY,173.6243,2023-05-10 13:31:00+00:00,173.01,2023-05-10 13:40:00+00:00,-0.6143000000000143
33,SELL,172.66,2023-05-10 13:53:00+00:00,173.17,2023-05-10 14:00:00+00:00,-0.5099999999999909
34,SELL,173.17,2023-05-10 14:18:00+00:00,173.245,2023-05-10 14:30:00+00:00,-0.07500000000001705
35,SELL,172.91,2023-05-10 14:41:00+00:00,173.04,2023-05-10 15:15:00+00:00,-0.12999999999999545
36,BUY,173.2471,2023-05-10 15:21:00+00:00,172.29,2023-05-10 17:24:00+00:00,-0.957099999999997
37,BUY,173.0299,2023-05-10 18:42:00+00:00,173.2801,2023-05-11 13:31:00+00:00,0.25020000000000664
38,BUY,174.05,2023-05-12 13:32:00+00:00,172.7909,2023-05-12 14:01:00+00:00,-1.2591000000000179
39,BUY,173.0,2023-05-15 13:30:00+00:00,172.785,2023-05-15 13:36:00+00:00,-0.2150000000000034
